city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Elk Plain,15157,1,0.001,0.068,65830,35.4,9.1,5.3,1.146,41,10733,20.8,13.7,44.6,0.099,0,0.8,0.6,0.62,0.761,0.035,0.032,0.007,0.008,0,0.055,0.102,2009,362900
Ellensburg,19215,1,0.082,0.071,28341,23.9,9.2,4.7,1.029,17.7,9477,20,13.2,47.5,0.08,0,0.803,0.6,0.72,0.785,0.02,0.029,0.002,0.005,0,0.048,0.112,2811,437000
Elma,3390,1,-0.023,0.088,43306,36.3,9,5,0.964,25.8,10842,19.6,12.6,59,0.088,0,0.833,0.52,0.86,0.896,0.008,0,0,0,0,0.06,0.036,1325,325300
Elmer City,284,1,0.213,0.079,44583,38.7,9,4.4,0.739,17.2,25135,16.9,6.5,9.8,0.077,0,0.825,0.6,0.92,0.433,0.02,0,0.404,0.044,0,0.053,0.047,1059,184900
Endicott,400,1,-0.186,0.048,38333,45.5,8.8,4.7,0.726,15.3,22663,8,10.8,32.9,0.078,0,0.825,0.27,0.9,0.974,0,0,0.013,0,0,0,0.013,993,178800
Enetai,1946,1,0.019,0.058,54267,39.7,9.3,5.4,1.084,30.3,11195,17,8.6,25.9,0.09,0,0.834,0.4,0.57,0.806,0.018,0.083,0.003,0.005,0.003,0.057,0.026,2282,381800
Entiat,914,1,-0.103,0.059,37269,47.4,9.1,3.6,1.026,18.6,11540,16.8,10.8,33.1,0.082,0,0.806,0.59,0.97,0.75,0,0,0,0.007,0,0.014,0.229,591,361400
Enumclaw,12544,1,0.095,0.054,56764,41.2,9,5.1,1.361,32.3,10702,16,8.6,39.3,0.087,0,0.817,0.6,0.71,0.798,0.023,0.012,0.008,0.001,0,0.035,0.123,2422,607200
Ephrata,8348,1,0.074,0.071,54563,36.9,9.2,4.8,0.847,19.9,9291,19.2,13.4,68.7,0.08,0,0.827,0.5,0.88,0.745,0.002,0.025,0.008,0.001,0,0.018,0.201,793,279200
Erlands Point-Kitsap Lake,3126,1,-0.051,0.058,54982,38,9.2,5.3,1.104,26.5,10543,18.6,10.3,31.9,0.09,0,0.834,0.4,0.68,0.791,0,0.03,0.002,0.018,0.002,0.068,0.089,1784,416800
Eschbach,237,1,-0.113,0.072,24318,44,9.1,5,0.87,18.9,9281,18.3,8.3,25.2,0.079,0,0.813,0.53,0.82,0.851,0,0,0.056,0,0,0.034,0.058,326,309000
Esperance,4422,1,0.154,0.063,68886,42.4,9.3,5.5,1.394,32,10150,20.6,11.6,40,0.103,0,0.801,0.53,0.29,0.812,0.015,0.077,0.022,0,0,0.057,0.017,5869,634100
Everett,110438,1,0.058,0.076,48562,35.4,9.2,5.3,1.266,28.8,12507,21.3,23.5,78.6,0.101,0,0.801,0.53,0.22,0.652,0.036,0.087,0.007,0.013,0.001,0.055,0.148,3383,571300
Everson,2859,1,0.011,0.067,51735,34.5,9.1,5.2,1.091,23,10731,17.6,7.1,23,0.085,0,0.789,0.6,0.85,0.612,0,0.01,0.007,0.004,0,0.011,0.356,2210,431100
Fairchild AFB,3343,1,-0.288,0.063,44920,22.4,9.1,4,1.062,9.4,10126,19.2,10.6,34.4,0.088,0,0.82,0.38,0.77,0.686,0.14,0.012,0.005,0,0,0.027,0.129,483,429200
Fairfield,556,1,-0.408,0.063,35556,46.7,8.9,4.2,0.918,21.5,14319,14.9,9.8,30.2,0.081,0,0.82,0.38,0.88,0.937,0,0,0.024,0,0,0.024,0.016,1028,294300
